33
Vdd[mV] Temp[C] Leakage[nA] FwdLatUp[ns] FwdLatDn[ns] BwdLatUp[ns] BwdLatDn[ns] CycTime[ns] EpC[fJ]
675 100 11.0364 0.0515173 0.0684638 0.0631756 0.0770455 0.239303 3.19512
700 100 11.3156 0.0490554 0.0634662 0.0600897 0.0715428 0.226596 3.45462
725 100 11.6017 0.0469209 0.059183 0.0574091 0.0668178 0.215652 3.72881
750 100 11.895 0.0450627 0.0554951 0.0550891 0.0627383 0.206215 4.01854
775 100 12.1957 0.0434529 0.0522953 0.0530798 0.0591891 0.197957 4.32371
800 100 12.5024 0.0420165 0.0495079 0.0512961 0.0560928 0.190757 4.64585
850 100 13.1433 0.0396662 0.0449257 0.0483809 0.0509769 0.178911 5.34201
900 100 13.8202 0.0377974 0.0413503 0.0460977 0.0469625 0.169671 6.11065
950 100 14.5387 0.0363126 0.0385122 0.0443041 0.0437677 0.162515 6.95618
150 125 15.8825 11.0572 5.1993 12.8479 6.38043 29.3137 0.202748
175 125 16.1075 6.55204 3.2015 7.62477 3.92993 17.5558 0.233864
200 125 16.4225 3.8107 2.00303 4.44081 2.44894 10.4941 0.276588
225 125 16.79 2.18907 1.30073 2.56659 1.57375 6.36041 0.329825
250 125 17.1874 1.27388 0.889692 1.50881 1.0601 3.99234 0.393763
275 125 17.6019 0.772822 0.644014 0.926593 0.754616 2.63077 0.470266
300 125 18.0323 0.49896 0.491192 0.605256 0.566751 1.84053 0.560756
325 125 18.4702 0.344311 0.390901 0.421717 0.445321 1.36294 0.665961
350 125 18.9214 0.252799 0.321196 0.311604 0.362441 1.05937 0.785219
375 125 19.3802 0.195312 0.269966 0.241742 0.302412 0.855566 0.917051
400 125 19.8486 0.157365 0.230539 0.195178 0.256965 0.71193 1.05988
425 125 20.3268 0.131167 0.199123 0.162718 0.221224 0.606336 1.21231
450 125 20.815 0.112202 0.173509 0.139176 0.192421 0.526276 1.37327
475 125 21.3135 0.0981202 0.152325 0.121567 0.168821 0.463846 1.54227
500 125 21.8219 0.0873285 0.134671 0.108046 0.149294 0.413989 1.71924
525 125 22.3433 0.0788444 0.119877 0.0973782 0.133016 0.373695 1.90471
550 125 22.8751 0.072042 0.107442 0.0888391 0.11937 0.340614 2.09918
575 125 23.4176 0.0665067 0.0969681 0.0818805 0.107903 0.313186 2.30364
600 125 23.9743 0.0619186 0.0880999 0.076115 0.0981919 0.290223 2.5189
625 125 24.5424 0.0580673 0.0805711 0.0712764 0.0899442 0.270838 2.74598
650 125 25.1233 0.0548369 0.0741545 0.06721 0.0829151 0.254373 2.9856
675 125 25.7171 0.0520468 0.0686638 0.0637098 0.0768933 0.240223 3.23853
700 125 26.3244 0.0496605 0.063932 0.0607114 0.0717042 0.22807 3.50562
725 125 26.9455 0.0475876 0.0598414 0.0581146 0.067211 0.217503 3.78719
750 125 27.5749 0.0457765 0.0562823 0.0558589 0.0632928 0.208328 4.08455
775 125 28.2258 0.044196 0.0531788 0.0538818 0.0598723 0.200282 4.39742
800 125 28.8948 0.0427898 0.0504531 0.0521332 0.0568617 0.19324 4.72728
850 125 30.2706 0.0404584 0.045932 0.0492487 0.0518497 0.18153 5.43811
900 125 31.7157 0.0386017 0.0423678 0.0469781 0.0478806 0.172353 6.22106
950 125 33.2341 0.0371236 0.0395041 0.0451886 0.0446875 0.165143 7.08035
