59
Vdd[mV] Temp[C] Leakage[nA] FwdLatUp[ns] FwdLatDn[ns] BwdLatUp[ns] BwdLatDn[ns] CycTime[ns] EpC[fJ]
525 75 6.64634 0.0669433 0.0912731 0.167042 0.167076 0.480437 4.71873
550 75 6.82529 0.0604421 0.0775762 0.150164 0.148039 0.432051 5.1789
575 75 7.00807 0.0552293 0.0663724 0.136625 0.132589 0.392902 5.66162
600 75 7.19464 0.0509688 0.0571862 0.125571 0.119931 0.360916 6.16942
625 75 7.38912 0.0474523 0.0496993 0.116424 0.109451 0.334352 6.7042
650 75 7.58769 0.0445083 0.0433944 0.10876 0.100694 0.312133 7.26806
675 75 7.79182 0.0420022 0.038048 0.102255 0.0933215 0.293344 7.86247
700 75 8.00166 0.03986 0.033659 0.0966982 0.0870448 0.277278 8.48846
725 75 8.21695 0.0380185 0.029988 0.0919208 0.0816716 0.263505 9.14851
750 75 8.43914 0.03641 0.026678 0.0877665 0.0770448 0.25162 9.84422
775 75 8.66716 0.0350076 0.023893 0.0841418 0.0730274 0.241272 10.577
800 75 8.90166 0.0337784 0.0214621 0.0809728 0.0695257 0.232252 11.3483
850 75 9.39126 0.0317403 0.0174124 0.0757149 0.0637706 0.217434 13.0122
900 75 9.91284 0.0301347 0.0141561 0.0715996 0.059295 0.205921 14.8455
950 75 10.4734 0.0288627 0.0114594 0.0683618 0.0557709 0.197023 16.8578
125 100 11.9668 25.4721 3.86628 60.2541 27.0663 118.178 0.396554
175 100 12.3043 8.58187 2.0369 20.6791 8.83933 39.3555 0.544168
200 100 12.5844 4.8063 1.25995 11.5786 5.06367 22.1872 0.662318
225 100 12.8924 2.63769 0.797887 6.36499 2.98143 12.5367 0.805062
250 100 13.216 1.45112 0.537885 3.52179 1.84306 7.27746 0.97064
275 100 13.548 0.827457 0.402503 2.02947 1.21286 4.44755 1.16326
300 100 13.8906 0.504245 0.327905 1.25112 0.852138 2.90779 1.38932
325 100 14.2409 0.332042 0.276543 0.831436 0.634888 2.03734 1.65229
350 100 14.5972 0.23479 0.238608 0.591977 0.494753 1.516 1.95066
375 100 14.9608 0.176413 0.20688 0.446427 0.399228 1.1833 2.28017
400 100 15.3322 0.139239 0.178588 0.352415 0.330307 0.958673 2.63532
425 100 15.7115 0.114197 0.154041 0.288532 0.278548 0.799772 3.01206
450 100 16.0993 0.0964978 0.132497 0.243116 0.238513 0.682715 3.40747
475 100 16.4958 0.0835312 0.113876 0.209647 0.206887 0.593823 3.82063
500 100 16.8995 0.0736962 0.0979199 0.184213 0.181527 0.52464 4.25152
525 100 17.3159 0.0660657 0.0843925 0.164421 0.160957 0.469847 4.70226
550 100 17.7415 0.0600105 0.0729948 0.148669 0.144127 0.425614 5.17407
575 100 18.1765 0.0551042 0.0634035 0.135916 0.130235 0.389413 5.66944
600 100 18.6219 0.0510654 0.0554102 0.125405 0.11867 0.359464 6.19028
625 100 19.0781 0.0477001 0.0485736 0.116663 0.108974 0.334438 6.73871
650 100 19.5453 0.0448753 0.0429811 0.109295 0.100767 0.313191 7.31632
675 100 20.0238 0.0424566 0.0379191 0.103009 0.0937914 0.295204 7.92503
700 100 20.5139 0.0403786 0.0338563 0.0976203 0.0877914 0.279701 8.56608
725 100 21.0159 0.0385773 0.0302745 0.0929541 0.0826156 0.266361 9.24122
750 100 21.5303 0.0370061 0.0271706 0.0888959 0.0781217 0.254729 9.95243
775 100 22.0573 0.035637 0.024474 0.0853454 0.0742031 0.244592 10.7007
800 100 22.5941 0.0344244 0.0220989 0.0822248 0.0707639 0.235728 11.4879
850 100 23.7178 0.0324033 0.018091 0.0770326 0.0650693 0.22104 13.1831
900 100 24.901 0.0308114 0.0148276 0.0729544 0.0605989 0.209604 15.0476
950 100 26.1569 0.0295407 0.0121489 0.069725 0.0570437 0.200614 17.0897
150 125 29.1139 8.88837 1.39313 21.2932 8.66458 39.9894 0.508001
175 125 29.5493 5.35471 1.04672 12.9115 5.2282 24.1128 0.588939
200 125 30.142 3.13567 0.710547 7.5766 3.19604 14.3608 0.696661
225 125 30.8156 1.80407 0.488758 4.37279 2.01539 8.59903 0.828662
250 125 31.5332 1.04881 0.354299 2.55883 1.33239 5.30806 0.986009
275 125 32.2762 0.635391 0.288489 1.5657 0.930581 3.44088 1.17321
300 125 33.0415 0.410057 0.246091 1.02074 0.686827 2.37249 1.39515
325 125 33.8184 0.283304 0.216 0.710575 0.531403 1.73521 1.65326
350 125 34.6171 0.208113 0.191395 0.524734 0.426573 1.33484 1.94593
375 125 35.4279 0.16098 0.170218 0.406876 0.352527 1.06909 2.26953
400 125 36.2544 0.129851 0.150635 0.328082 0.29761 0.884211 2.62069
425 125 37.0972 0.108307 0.133146 0.27302 0.255339 0.749772 2.99579
450 125 37.9568 0.092743 0.116846 0.233044 0.222022 0.648698 3.39247
475 125 38.8339 0.0811215 0.102467 0.203032 0.19522 0.570643 3.80969
500 125 39.7279 0.072202 0.0897156 0.179896 0.173365 0.509049 4.24787
525 125 40.6432 0.0651668 0.0784406 0.161659 0.155362 0.459454 4.70729
550 125 41.5765 0.0595223 0.068843 0.146978 0.140387 0.419043 5.18999
575 125 42.5285 0.0549202 0.0605909 0.134986 0.127849 0.385523 5.69722
600 125 43.5034 0.0511069 0.0535268 0.125051 0.117275 0.357523 6.23087
625 125 44.4981 0.047908 0.0475438 0.116717 0.108289 0.333913 6.79269
650 125 45.5143 0.0451919 0.0422632 0.109648 0.10062 0.313783 7.38446
675 125 46.5527 0.0428601 0.037643 0.103598 0.094024 0.296536 8.00735
700 125 47.6139 0.0408523 0.0338518 0.0983875 0.0883048 0.281641 8.66351
725 125 48.6983 0.0391007 0.0304599 0.0938568 0.0833384 0.268718 9.35395
750 125 49.8004 0.0375769 0.0274974 0.0899046 0.0789973 0.257414 10.0808
775 125 50.9321 0.0362288 0.0248872 0.0864292 0.0751813 0.247502 10.8447
800 125 52.0977 0.0350374 0.0225658 0.083367 0.0718198 0.238779 11.6475
850 125 54.4935 0.0330508 0.0186224 0.0782602 0.0661981 0.22424 13.374
900 125 57.0081 0.0314673 0.0153742 0.0742174 0.0617478 0.212855 15.2689
950 125 59.6485 0.0301968 0.0126336 0.0709998 0.0581789 0.203845 17.3403
