68
Vdd[mV] Temp[C] Leakage[nA] FwdLatUp[ns] FwdLatDn[ns] BwdLatUp[ns] BwdLatDn[ns] CycTime[ns] EpC[fJ]
550 125 50.0917 0.0627054 0.0418667 0.166281 0.101258 0.403902 3.76649
575 125 51.2523 0.0578807 0.0364488 0.152485 0.0908813 0.370129 4.14212
600 125 52.4401 0.0538797 0.0317362 0.140904 0.0820729 0.341779 4.53745
625 125 53.6527 0.0505202 0.0278339 0.131075 0.0747503 0.317706 4.95345
650 125 54.8917 0.0476564 0.0242101 0.122685 0.0682639 0.297232 5.39177
675 125 56.158 0.0452162 0.0211996 0.115483 0.0628358 0.279692 5.85313
700 125 57.4522 0.0431033 0.018688 0.109265 0.0582741 0.264577 6.33853
725 125 58.775 0.0412755 0.0163452 0.103877 0.0542432 0.251526 6.84913
750 125 60.1158 0.039682 0.0143867 0.0991676 0.0508936 0.240247 7.38615
775 125 61.4967 0.0382845 0.0126473 0.0950452 0.0480649 0.230493 7.95057
800 125 62.9235 0.037038 0.0111336 0.0914166 0.0457177 0.222028 8.54376
850 125 65.8491 0.0349444 0.00856846 0.0853763 0.0420983 0.208298 9.81689
900 125 68.9213 0.0332909 0.00656093 0.0806343 0.0394491 0.197751 11.2128
950 125 72.1492 0.0319651 0.00499009 0.076886 0.0373901 0.189461 12.7398
